observed_on,scientific_name,common_name,location,class_name,lat,lon,country,country_code
2025-08-08,Bombus impatiens,Common Eastern Bumble Bee,"40.4718083333,-78.1985033333",Common_Eastern_Bumble_Bee,40.4718083333,-78.1985033333,United States,US
2020-08-27,Bombus breviceps,Short-faced Bumble Bee,"19.8137176611,99.5730612463",Short-faced_Bumble_Bee,19.8137176611,99.5730612463,Thailand,TH
2020-08-25,Bombus breviceps,Short-faced Bumble Bee,"19.8137176611,99.5730612463",Short-faced_Bumble_Bee,19.8137176611,99.5730612463,Thailand,TH
2020-08-27,Bombus,Bumble Bees,"19.8137176611,99.5730612463",Bumble_Bees,19.8137176611,99.5730612463,Thailand,TH
2025-08-08,Bombus impatiens,Common Eastern Bumble Bee,"35.9409721997,-83.9276629",Common_Eastern_Bumble_Bee,35.9409721997,-83.9276629,United States,US
2025-08-08,Bombus rufocinctus,Red-belted Bumble Bee,"42.5686,-87.81835",Red-belted_Bumble_Bee,42.5686,-87.81835,United States,US
2025-08-08,Bombus rufocinctus,Red-belted Bumble Bee,"43.2283628163,-79.7462170199",Red-belted_Bumble_Bee,43.2283628163,-79.7462170199,Canada,CA
2025-08-08,Bombus,Bumble Bees,"35.9412165,-83.9283262",Bumble_Bees,35.9412165,-83.9283262,United States,US
2025-08-08,Bombus impatiens,Common Eastern Bumble Bee,"38.8947805556,-77.0817388889",Common_Eastern_Bumble_Bee,38.8947805556,-77.0817388889,United States,US
2025-08-08,Bombus huntii,Hunt's Bumble Bee,"40.5649781,-111.8389726",Hunt's_Bumble_Bee,40.5649781,-111.8389726,United States,US
2025-08-08,Bombus huntii,Hunt's Bumble Bee,"40.5649781,-111.8389726",Hunt's_Bumble_Bee,40.5649781,-111.8389726,United States,US
2025-08-08,Bombus,Bumble Bees,"40.5649781,-111.8389726",Bumble_Bees,40.5649781,-111.8389726,United States,US
2025-08-08,Bombus,Bumble Bees,"40.5649781,-111.8389726",Bumble_Bees,40.5649781,-111.8389726,United States,US
2025-08-08,Bombus,Bumble Bees,"39.4618779527,-106.0063755086",Bumble_Bees,39.4618779527,-106.0063755086,United States,US
2025-08-07,Bombus ternarius,Tricolored Bumble Bee,"45.0495028333,-77.612695",Tricolored_Bumble_Bee,45.0495028333,-77.612695,Canada,CA
2025-08-08,Bombus appositus,White-shouldered Bumble Bee,"49.5160146256,-115.7571803147",White-shouldered_Bumble_Bee,49.5160146256,-115.7571803147,Canada,CA
2025-08-08,Bombus impatiens,Common Eastern Bumble Bee,"45.7554466667,-77.1265721667",Common_Eastern_Bumble_Bee,45.7554466667,-77.1265721667,Canada,CA
2025-08-08,Bombus vagans,Half-black Bumble Bee,"49.3135362,-117.6490380997",Half-black_Bumble_Bee,49.3135362,-117.6490380997,Canada,CA
2025-08-08,Bombus,Bumble Bees,"49.313518,-117.6490303",Bumble_Bees,49.313518,-117.6490303,Canada,CA
2025-08-08,Bombus insularis,Indiscriminate Cuckoo Bumble Bee,"45.0087583333,-116.0654138333",Indiscriminate_Cuckoo_Bumble_Bee,45.0087583333,-116.0654138333,United States,US
2025-08-08,Bombus citrinus,Lemon Cuckoo Bumble Bee,"45.745445,-97.221305",Lemon_Cuckoo_Bumble_Bee,45.745445,-97.221305,United States,US
2025-08-08,Bombus citrinus,Lemon Cuckoo Bumble Bee,"45.7462783333,-97.2189466667",Lemon_Cuckoo_Bumble_Bee,45.7462783333,-97.2189466667,United States,US
2025-08-08,Bombus citrinus,Lemon Cuckoo Bumble Bee,"45.7423283333,-97.2292466667",Lemon_Cuckoo_Bumble_Bee,45.7423283333,-97.2292466667,United States,US
2025-08-08,Bombus huntii,Hunt's Bumble Bee,"41.505505,-111.3198166667",Hunt's_Bumble_Bee,41.505505,-111.3198166667,United States,US
2025-08-08,Bombus,Bumble Bees,"41.5055283333,-111.31983",Bumble_Bees,41.5055283333,-111.31983,United States,US
2025-08-08,Bombus,Bumble Bees,"41.5054966667,-111.3198166667",Bumble_Bees,41.5054966667,-111.3198166667,United States,US
2025-08-08,Bombus huntii,Hunt's Bumble Bee,"39.624304,-104.89686",Hunt's_Bumble_Bee,39.624304,-104.89686,United States,US
2025-08-08,Bombus nevadensis,Nevada Bumble Bee,"41.5056283333,-111.31958",Nevada_Bumble_Bee,41.5056283333,-111.31958,United States,US
2025-08-08,Bombus,Bumble Bees,"41.5056133333,-111.319375",Bumble_Bees,41.5056133333,-111.319375,United States,US
2025-08-08,Bombus,Bumble Bees,"46.4970727837,-63.3841224387",Bumble_Bees,46.4970727837,-63.3841224387,Canada,CA
2025-08-08,Bombus,Bumble Bees,"46.4984388793,-63.3889567852",Bumble_Bees,46.4984388793,-63.3889567852,Canada,CA
2025-08-08,Bombus rufocinctus,Red-belted Bumble Bee,"46.5003802962,-63.4033810347",Red-belted_Bumble_Bee,46.5003802962,-63.4033810347,Canada,CA
